l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,5.0,6.0,12.0,0.0,0.0,2.0,26.0
3.0,4.0,6.0,5.0,2.0,2.0,8.0,4.0
7.0,5.0,8.0,6.0,2.0,2.0,9.0,6.0
7.0,10.0,8.0,11.0,4.0,4.0,12.0,16.0
7.0,6.0,8.0,7.0,4.0,4.0,13.0,11.0
6.0,4.0,7.0,5.0,5.0,5.0,17.0,3.0
7.0,7.0,8.0,8.0,5.0,5.0,18.0,16.0
7.0,8.0,8.0,9.0,6.0,6.0,19.0,14.0
7.0,4.0,8.0,5.0,6.0,6.0,20.0,1.0
7.0,9.0,8.0,10.0,7.0,7.0,21.0,13.0
6.0,5.0,7.0,7.0,8.0,8.0,23.0,4.0
6.0,7.0,7.0,9.0,11.0,11.0,26.0,9.0
6.0,9.0,7.0,11.0,16.0,16.0,38.0,9.0
2.0,5.0,3.0,10.0,25.0,25.0,52.0,1.0
