l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,5.0,6.0,12.0,0.0,0.0,1.0,26.0
1.0,12.0,2.0,13.0,1.0,1.0,5.0,18.0
1.0,7.0,2.0,10.0,3.0,3.0,8.0,20.0
6.0,11.0,8.0,12.0,3.0,3.0,9.0,16.0
1.0,10.0,2.0,12.0,4.0,4.0,13.0,17.0
2.0,12.0,3.0,13.0,4.0,4.0,14.0,8.0
1.0,6.0,2.0,7.0,9.0,9.0,27.0,9.0
6.0,10.0,7.0,11.0,13.0,13.0,36.0,13.0
7.0,8.0,8.0,11.0,14.0,14.0,38.0,12.0
6.0,9.0,7.0,10.0,15.0,15.0,43.0,8.0
6.0,6.0,7.0,7.0,16.0,16.0,44.0,7.0
7.0,6.0,8.0,8.0,16.0,16.0,45.0,9.0
1.0,5.0,2.0,6.0,18.0,18.0,47.0,3.0
6.0,8.0,7.0,9.0,19.0,19.0,48.0,7.0
6.0,7.0,7.0,8.0,20.0,20.0,49.0,6.0
3.0,12.0,4.0,13.0,21.0,21.0,50.0,5.0
2.0,11.0,3.0,12.0,24.0,24.0,56.0,1.0
2.0,6.0,3.0,11.0,26.0,26.0,57.0,1.0
2.0,5.0,3.0,6.0,27.0,27.0,59.0,0.0
