l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,3.0,15.0,0.0,0.0,1.0,27.0
3.0,7.0,4.0,15.0,0.0,0.0,2.0,28.0
4.0,7.0,5.0,14.0,0.0,0.0,3.0,28.0
5.0,8.0,7.0,14.0,0.0,0.0,4.0,27.0
5.0,7.0,7.0,8.0,1.0,1.0,8.0,21.0
1.0,6.0,2.0,13.0,1.0,1.0,9.0,20.0
7.0,6.0,8.0,7.0,5.0,5.0,19.0,3.0
1.0,5.0,3.0,6.0,6.0,6.0,20.0,3.0
3.0,6.0,4.0,7.0,8.0,8.0,21.0,12.0
4.0,6.0,6.0,7.0,12.0,12.0,28.0,8.0
6.0,6.0,7.0,7.0,15.0,15.0,32.0,7.0
7.0,10.0,8.0,11.0,21.0,21.0,35.0,5.0
7.0,11.0,8.0,13.0,22.0,22.0,36.0,5.0
7.0,8.0,8.0,10.0,22.0,22.0,37.0,4.0
7.0,7.0,8.0,8.0,25.0,25.0,40.0,3.0
