l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,5.0,6.0,12.0,0.0,0.0,2.0,26.0
2.0,12.0,6.0,13.0,1.0,1.0,7.0,19.0
7.0,8.0,8.0,9.0,2.0,2.0,11.0,16.0
1.0,13.0,3.0,14.0,3.0,3.0,12.0,13.0
7.0,9.0,8.0,11.0,3.0,3.0,13.0,17.0
7.0,7.0,8.0,8.0,3.0,3.0,14.0,15.0
6.0,11.0,8.0,12.0,5.0,5.0,19.0,9.0
2.0,7.0,3.0,12.0,9.0,9.0,28.0,15.0
2.0,6.0,3.0,7.0,12.0,12.0,31.0,10.0
1.0,7.0,2.0,13.0,15.0,15.0,36.0,10.0
6.0,7.0,7.0,11.0,20.0,20.0,44.0,6.0
6.0,12.0,7.0,13.0,21.0,21.0,46.0,4.0
7.0,12.0,8.0,13.0,25.0,25.0,49.0,1.0
3.0,13.0,4.0,14.0,26.0,26.0,50.0,0.0
