l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,5.0,5.0,12.0,0.0,0.0,0.0,27.0
7.0,13.0,8.0,17.0,3.0,3.0,9.0,7.0
2.0,14.0,4.0,16.0,3.0,3.0,10.0,9.0
4.0,12.0,5.0,13.0,4.0,4.0,11.0,17.0
5.0,10.0,7.0,11.0,5.0,5.0,13.0,20.0
7.0,9.0,8.0,11.0,5.0,5.0,14.0,17.0
5.0,11.0,8.0,12.0,7.0,7.0,18.0,20.0
5.0,9.0,7.0,10.0,9.0,9.0,22.0,16.0
5.0,12.0,7.0,13.0,10.0,10.0,25.0,15.0
4.0,13.0,7.0,14.0,13.0,13.0,32.0,6.0
2.0,12.0,4.0,13.0,13.0,13.0,33.0,13.0
2.0,13.0,3.0,14.0,14.0,14.0,36.0,9.0
3.0,13.0,4.0,14.0,15.0,15.0,39.0,4.0
7.0,12.0,8.0,13.0,15.0,15.0,40.0,7.0
4.0,14.0,6.0,15.0,18.0,18.0,44.0,3.0
6.0,14.0,7.0,16.0,24.0,24.0,49.0,2.0
